Time,Simulated Time,Failed on,Reward,Altitude (m),Roll,Pitch,Yaw,X_distance,Y_distance
123.8,6.01,PitchRollAlt,-23.339,946.331,-2.22,-1.013,-5.858,-0.0,3.0
124.2,6.01,Alt,-10.021,933.45,0.137,0.021,6.846,-0.0,3.0
124.7,6.01,PitchAlt,-24.937,966.208,-0.546,1.166,0.557,-1.0,-0.0
125.3,6.01,PitchRollAlt,-15.561,958.64,-0.638,0.733,-0.21,-0.0,1.0
125.8,6.01,Alt,-1.093,927.737,0.329,0.324,3.479,-0.0,2.0
126.3,6.01,PitchRollAlt,-15.509,935.307,-1.029,0.933,-2.845,1.0,2.0
126.8,6.01,PitchRollAlt,-13.825,930.894,-1.166,0.922,-2.318,-0.0,1.0
127.3,6.01,Alt,-3.901,934.07,0.18,0.466,5.795,-0.0,2.0
127.8,6.01,PitchRollAlt,-24.331,930.396,-2.108,0.625,-4.267,-0.0,5.0
128.3,6.01,RollAlt,-25.227,953.287,-1.843,0.35,-3.346,1.0,2.0
128.8,6.01,PitchRollAlt,-11.84,966.827,-0.635,0.931,-0.382,1.0,1.0
129.3,6.01,PitchAlt,-19.536,934.216,0.517,0.631,8.443,1.0,1.0
129.7,6.01,RollAlt,-31.716,954.881,-3.232,0.541,-1.77,-1.0,2.0
130.3,6.01,PitchAlt,-19.248,940.154,-0.053,0.727,1.341,1.0,-0.0
130.8,6.01,RollAlt,-22.193,930.745,-1.88,0.413,-3.729,1.0,3.0
131.3,6.01,PitchAlt,-33.562,940.76,0.14,0.958,3.159,-0.0,1.0
131.8,6.01,PitchRollAlt,-26.108,946.21,-2.667,-0.891,-3.448,-0.0,4.0
132.3,6.01,PitchRollAlt,-14.029,959.713,-1.333,0.876,-2.071,-0.0,2.0
132.9,6.01,Alt,-45.538,935.142,0.544,0.404,5.677,1.0,-0.0
133.4,6.01,PitchAlt,-27.224,937.25,-0.529,0.795,-1.315,-0.0,3.0
133.9,6.01,PitchRollAlt,-26.25,946.771,2.696,-0.708,4.83,-0.0,3.0
134.5,6.01,PitchRollAlt,-13.977,941.485,-0.694,0.846,-0.503,-0.0,1.0
135.0,6.01,PitchRollAlt,-30.598,949.613,-2.937,1.176,1.638,-0.0,3.0
135.6,6.01,PitchAlt,-26.167,952.891,0.277,1.426,-0.43,-0.0,2.0
136.0,6.01,Alt,2.391,977.954,-0.127,0.047,-1.015,-1.0,1.0
136.5,6.01,PitchAlt,-26.165,935.356,0.336,1.203,6.378,1.0,-5.0
137.0,6.01,RollAlt,-22.558,936.855,-1.021,-0.343,-8.781,1.0,3.0
137.5,6.01,Alt,-11.346,942.54,0.253,0.574,1.312,-0.0,6.0
138.0,6.01,PitchRollAlt,-15.353,954.066,-2.065,0.901,-3.359,-0.0,3.0
138.5,6.01,RollAlt,-20.7,939.655,-3.093,0.095,-2.519,-0.0,5.0
139.1,6.01,RollAlt,-19.026,930.254,-1.757,0.168,-6.578,1.0,4.0
139.6,6.01,PitchRollAlt,-15.149,945.829,-0.578,1.06,-0.019,-0.0,2.0
140.1,6.01,PitchRollAlt,-12.751,928.232,-0.614,0.949,-1.095,-0.0,1.0
140.7,6.01,PitchRollAlt,-33.04,963.575,-1.462,1.127,-0.027,-0.0,-0.0
141.2,6.01,Alt,-4.816,938.536,0.242,0.505,3.149,1.0,-5.0
141.7,6.01,PitchRollAlt,-17.079,961.885,-0.668,0.928,-1.527,-0.0,2.0
